ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
493	13.001	1	9	1	7	22	100	2288
494	13.001	16	11	1	7	6	100	2336
495	13.001	19	8	1	7	53	100	497
496	13.001	19	9	1	1	9	100	38
497	13.001	25	8	1	7	53	100	497
498	14.001	22	8	1	100	24	100	Ungroupable
499	18.001	1	11	1	1	22	100	90
500	18.001	16	8	1	1	3	100	127
501	18.001	36	8	1	2	24	100	501
502	19.001	19	8	1	7	21	100	73
503	2.006	25	13	1	2	10	100	2467
504	21.001	1	12	1	7	52	100	1118
505	21.001	1	8	1	1	39	1	5119
506	21.001	1	8	1	7	52	100	199
507	34.001	1	11	1	7	3	100	90
508	43.001	1	10	1	7	3	100	199
509	43.001	1	11	1	1	52	100	2436
510	43.001	1	11	1	7	15	100	3292
511	43.001	1	12	1	7	3	100	199
512	43.001	1	8	1	2	3	100	199
513	43.001	1	8	1	7	15	100	199
514	43.001	1	8	1	7	3	100	199
515	43.002	19	8	1	7	3	1	345
516	44.001	1	10	1	7	10	100	158
517	5.002	1	13	1	7	3	100	199
520	14.001	130	3	100	100	2	100	520
522	14.001	159	1	100	100	7	100	178
524	14.002	29	1	100	100	7	100	178
526	15.001	3	1	100	100	56	100	307
533	2.002	18	3	100	100	2	100	1958
534	2.002	40	1	100	7	3	100	436
539	43.002	122	1	100	7	6	100	1340
543	66.001	25	3	100	100	100	100	301
545	1.001	52	100	100	100	2	100	190
546	22.001	53	3	1	100	2	100	1115
547	2.002	160	14	1	100	1	100	2036
548	15.001	55	100	100	100	1	100	661
549	2.001	56	1	100	100	100	2	63
550	2.001	1	100	6	100	2	100	442
551	1.001	57	100	100	100	2	100	190
552	9.001	58	8	1	100	2	100	3035
553	19.001	161	100	1	7	15	100	309
554	18.001	59	8	1	7	3	100	199
556	12.001	1	8	1	1	23	100	127
557	43.002	1	12	1	7	24	100	345
558	12.001	1	8	1	1	25	100	127
559	2.002	54	100	100	1	22	100	1271
561	9.001	1	12	1	1	22	100	958
562	14.001	161	8	100	100	7	100	178
563	15.001	60	100	100	100	2	100	1958
564	2.001	54	100	100	100	2	100	1958
565	100.001	61	100	100	11	2	100	1074
567	19.001	38	12	1	7	26	100	309
